id,name,url,category,subcategory,is_ai,cost,rating,status,description,reference_link
1,Claude,https://claude.ai,App Building,LLM,Yes,Free+Paid,Top,Using Now,Architecture reviews + strategy + coding. Built this site with it.,
2,Cursor,https://cursor.com,App Building,IDE,Yes,Free+Paid,Top,Using Now,AI-first code editor. Daily driver for all development.,"https://www.youtube.com/watch?v=djDZHAi75dk"
3,Bolt.new,https://bolt.new,App Building,App Generator,Yes,Free+Paid,Top,Testing,Full-stack app generation directly in the browser.,
4,v0,https://v0.dev,App Building,UI Generator,Yes,Free+Paid,Top,Testing,AI UI component generator by Vercel.,
5,Supabase,https://supabase.com,App Building,Backend,No,Free+Paid,Top,Using Now,Open-source Firebase alternative: Auth + DB + Storage + Edge Functions.,
6,Vercel,https://vercel.com,App Building,Deployment,No,Free+Paid,Top,Using Now,Frontend deployment platform.,
7,Railway,https://railway.app,App Building,Deployment,No,Free+Paid,Top,Testing,Simple backend deployment platform.,
8,Phase,https://phase.dev,App Building,Design,Yes,Free+Paid,Top,New,AI-powered UI design tool — Figma alternative.,
9,Eraser.io,https://eraser.io,App Building,Planning,Yes,Free+Paid,Top,Testing,Generate flowcharts and diagrams using AI.,
10,Miro,https://miro.com,App Building,Planning,Yes,Free+Paid,Top,Using Now,Visual collaboration — ERD + flowcharts + planning.,
11,snarktank/ai-dev-tasks,https://github.com/snarktank/ai-dev-tasks,App Building,Development,No,Free,Top,Testing,Templates for defining and organizing dev tasks using GitHub.,
12,Dora AI,https://dora.run,Website,Website Builder,Yes,Paid,Top,New,AI-powered beautiful website builder.,
13,Durable,https://durable.co,Website,Website Builder,Yes,Paid,Average,New,AI website design generator.,
14,Lovart AI,https://www.lovart.ai,Design,Visual Design,Yes,Free+Paid,Top,New,AI design and visuals tool.,
15,ElevenLabs,https://elevenlabs.io,Audio / Video,Text to Voice,Yes,Free+Paid,Top,Using Now,Best-in-class text-to-speech and voice cloning.,
16,HeyGen,https://heygen.com,Audio / Video,Video Gen,Yes,Paid,Top,Testing,AI video avatars for async communication.,
17,Veo 3,https://deepmind.google/technologies/veo,Audio / Video,Text to Video,Yes,Free,Top,Testing,Ultra-realistic text-to-video model by Google.,
18,Runway ML,https://runwayml.com,Audio / Video,Video Gen,Yes,Free+Paid,Average,Testing,Video generation from text or image.,
19,Kling AI,https://klingai.com,Audio / Video,Video Gen,Yes,Paid,Average,Testing,Video generation from image or prompt.,
20,Pika Labs,https://pika.art,Audio / Video,Text to Video,Yes,Paid,Top,Testing,Short-form AI video generation.,
21,Topaz Video AI,https://topazlabs.com/topaz-video-ai,Audio / Video,Upscale,Yes,Paid,Top,New,AI video upscaling — best in class.,"https://www.youtube.com/watch?v=gyCg0yv3Njw"
22,Midjourney,https://midjourney.com,Audio / Video,Image Gen,Yes,Paid,Top,Using Now,High-quality AI image generation from prompts.,
23,Suno,https://suno.ai,Audio / Video,Audio Gen,Yes,Paid,Top,New,Create original AI-generated songs.,
24,Hedra AI,https://hedra.com,Audio / Video,Audio Gen,Yes,Paid,Top,New,Add audio/voice to AI characters.,
25,Akool,https://akool.com,Audio / Video,Face Swap,Yes,Paid,Top,New,AI face swapping in videos.,
26,Luma Dream Machine,https://lumalabs.ai,Audio / Video,Image Gen,Yes,Paid,Top,New,High-fidelity video generation from text or image.,
27,Seedream 3.0,https://seedream.bytedance.com,Audio / Video,Image Gen,Yes,Free,Top,New,Advanced image generation by ByteDance.,
28,OpenArt,https://openart.ai,Audio / Video,Image Gen,Yes,Paid,Top,New,Aggregate model — various image styles with fine-tuning.,
29,Glif,https://glif.app,Audio / Video,Image Gen,Yes,Free,Top,New,Vendor image generator directory.,
30,Hera Video,https://hera.video,Audio / Video,Text to Video,Yes,Free+Paid,Top,New,AI for stunning motion graphics.,
31,Lightricks,https://www.lightricks.com,Audio / Video,Video Gen,Yes,Free,Top,New,Run locally and generate unlimited video.,
32,Leonardo AI,https://leonardo.ai,Audio / Video,Image Gen,Yes,Free+Paid,Top,New,High-quality image generation.,
33,Minimax,https://minimax.io,Audio / Video,Multi,Yes,Free+Paid,Top,New,Audio + video + song generation.,
34,Motion Vid,https://motionvid.ai,Audio / Video,Motion Design,Yes,Free+Paid,Average,New,Motion design AI tool.,
35,Rive,https://rive.app,Audio / Video,Animation,No,Free+Paid,Top,New,Animation tool — Lottie alternative.,"https://rive.app/blog/rive-as-a-lottie-alternative"
36,Zapier,https://zapier.com,Business,Automation,No,Free+Paid,Top,Using Now,Connects apps and automates workflows — no-code.,
37,Make.com,https://make.com,Business,Automation,No,Free+Paid,Top,Using Now,Visual platform to design and automate anything.,
38,n8n.io,https://n8n.io,Business,Automation,No,Free,Top,Using Now,Open-source Zapier alternative with custom logic.,"https://www.youtube.com/watch?v=uAI5NLoojso"
39,RelevanceAI,https://relevanceai.com,Business,Automation,Yes,Paid,Top,Testing,Automate workflows using vector search + AI agents.,
40,Crew AI,https://crewai.com,Business,Agent,Yes,Free,Top,Testing,Multi-agent orchestration for LLM-powered workflows.,
41,Vapi,https://vapi.ai,Business,Voice Agent,Yes,Paid,Top,Testing,Build and deploy AI voice agents with real-time interaction.,
42,Retell AI,https://retellai.com,Business,Voice Agent,Yes,Paid,Top,New,AI voice agent platform.,"https://www.youtube.com/watch?v=zAgwhCiMbNc"
43,Feedly AI,https://feedly.com,Business,Research,Yes,Free+Paid,Top,Using Now,AI-driven news aggregator — tracks trends and insights.,
44,Kimi Agent Swarm,https://www.kimi.com/agent-swarm,Business,Agent,Yes,Free,Top,New,Spin multiple agents in parallel — like hiring 100 people at once.,
45,General Agents,https://generalagents.com,Business,Browser Agent,Yes,Paid,Top,New,Autonomous AI agents that browse and complete tasks.,
46,UseDash AI,https://usedash.ai,Business,Automation,Yes,Free+Paid,Average,New,Automate workflows — similar to n8n.,
47,Apify,https://apify.com/store,Business,Scraping,No,Free+Paid,Top,Using Now,Scrape anything from the web.,
48,Julius AI,https://julius.ai,Business,Data,Yes,Free+Paid,Top,New,AI for Excel and data analysis.,
49,Perplexity,https://perplexity.ai,Business,Research,Yes,Free+Paid,Top,Using Now,Instant cited answers for any research.,
50,Gamma,https://gamma.app,Business,Presentations,Yes,Free+Paid,Top,New,AI-powered instant presentations and decks.,
51,Kimi Dev 72B,https://kimi.ai,App Building,LLM,Yes,Free,Top,New,Free development LLM — strong at fixing code.,
52,Replica,https://replicastudios.com,Audio / Video,Humanoid,Yes,Paid,Top,New,AI humanoid voice and character platform.,
53,RevenueCat,https://revenuecat.com,App Building,Payment,No,Free+Paid,Top,Using Now,Manages in-app purchases and subscriptions for mobile/web.,
54,Lendy,https://lendy.ai,Business,Fintech Agent,Yes,Paid,Average,New,AI assistant for financial and lending workflows.,
